dc8h16,dc10h20,c8h16_std,c10h20_std,D4,D6,selectivity
3.64475663997543e-08,1.3675135154646247e-07,2.6529077484142015e-16,1.0734735488166814e-15,0.0001,0.0001,0.2665243596321673
7.437134781516186e-08,5.715819065390747e-08,5.544465402377486e-16,3.000697758541254e-16,0.0001,0.001,1.3011494409520408
9.694235255136837e-08,9.786773496973713e-09,5.536495592610554e-16,9.153470744307516e-17,0.0001,0.01,9.90544560792636
1.0109749482600125e-07,1.066061381752769e-09,8.144399950862723e-16,1.0656546384525343e-17,0.0001,0.1,94.83271466018347
1.0155417470762261e-07,1.0759045960416575e-10,1.0147698229048854e-15,1.2768382746545303e-18,0.0001,1.0,943.8957234800266
3.05310092815656e-08,1.3197141274638259e-07,2.7076710332249896e-16,1.0374152613681107e-15,0.001,0.0001,0.23134562740673906
6.682063040493971e-08,5.610115922461983e-08,7.424628717805114e-16,4.805701180851335e-16,0.001,0.001,1.1910739693880634
8.899144746909427e-08,9.748787147697425e-09,5.961373102543909e-16,7.267930266875207e-17,0.001,0.01,9.128463481748419
9.314470030284952e-08,1.065597620931487e-09,2.0610221471736498e-13,2.4526851293859673e-15,0.001,0.1,87.4107622551067
9.360292620953164e-08,1.0758648138501064e-10,5.544517211721849e-16,6.984314061338519e-19,0.001,1.0,870.0249790172314
7.91888751983664e-09,9.146780779728376e-08,5.3634265944443046e-17,6.950172426888487e-16,0.01,0.0001,0.0865756784877466
2.962408175715881e-08,4.6974688479898e-08,3.4036913564419807e-16,3.8044104380695185e-16,0.01,0.001,0.630639238189646
4.796225312357884e-08,9.383534873319192e-09,2.3434426751348355e-16,6.760524587645498e-17,0.01,0.01,5.111320389499803
5.20222771597013e-08,1.0609418716749615e-09,4.577360350559077e-16,1.108601271020974e-17,0.01,0.1,49.03405035524817
5.24873769063912e-08,1.0754258550357008e-10,5.389032902264174e-13,1.1311845323240319e-15,0.01,1.0,488.0613262236362
1.9159323922006018e-10,1.9198726693873546e-08,3.3590910905142456e-18,3.2431108618140987e-16,0.1,0.0001,0.009979476361898469
1.6076410868087851e-09,1.6353784398770088e-08,8.378542843849844e-17,7.93625087510548e-16,0.1,0.001,0.0983039183841564
6.3407692026911324e-09,6.7754194123660375e-09,3.874784182289204e-12,4.022020545844776e-12,0.1,0.01,0.9358489588287906
9.056570059297835e-09,9.958040622712528e-10,2.1975246887452188e-11,2.415246252722706e-12,0.1,0.1,9.094730984167109
9.461008240525987e-09,1.0447947313426474e-10,2.6379087381964235e-11,2.924510204130666e-13,0.1,1.0,90.55375143754613
2.128606192755398e-12,2.128650848589272e-09,2.7641657436795306e-20,3.478833546547633e-17,1.0,0.0001,0.000999979021531923
2.0906462047149823e-11,2.0910765882361698e-09,1.3832273266613088e-19,1.1721513918276558e-17,1.0,0.001,0.009997941808905477
1.6171736157156266e-10,1.6211743295389613e-09,1.1577403280905625e-12,1.1519609458686618e-11,1.0,0.01,0.09975322124521473
3.2342859843199013e-10,3.262169547985874e-10,7.136843270184751e-12,7.188557653309305e-12,1.0,0.1,0.9914524480546425
3.518088776614152e-10,3.5532638576591335e-11,8.576435039200627e-12,8.662171093118983e-13,1.0,1.0,9.901006279144847
